GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nyc-todo-service,com.TWCC.payload,JwtResponse,16,27,0,0,8,10,4,5,4,5
nyc-todo-service,com.TWCC.payload,MessageResponse,8,15,0,0,4,6,2,3,2,3
nyc-todo-service,com.TWCC.payload,LoginRequest,8,15,0,0,4,6,2,3,2,3
nyc-todo-service,com.TWCC.api,RequestService,0,14,0,0,0,3,0,2,0,2
nyc-todo-service,com.TWCC.api,ApiHandler,17,29,0,2,5,7,1,3,1,2
nyc-todo-service,com.TWCC.api,ResponseParser,12,547,4,26,5,119,3,27,0,15
nyc-todo-service,com.TWCC.exception,InvalidRequestException,4,0,0,0,2,0,1,0,1,0
nyc-todo-service,com.TWCC,NycTodoServiceApplication,5,17,0,0,2,4,1,4,1,4
nyc-todo-service,com.TWCC,NycTodoServiceApplication.new WebMvcConfigurer() {...},0,37,0,0,0,3,0,2,0,2
nyc-todo-service,com.TWCC.controller,AdminController,0,12,0,0,0,3,0,2,0,2
nyc-todo-service,com.TWCC.controller,UserController,0,101,0,8,0,22,0,7,0,3
nyc-todo-service,com.TWCC.controller,EventController,42,323,14,20,14,73,14,12,0,9
nyc-todo-service,com.TWCC.security,AuthTokenFilter,69,7,8,0,17,2,6,2,2,2
nyc-todo-service,com.TWCC.security,UserDetailsExt,60,30,6,0,21,11,13,4,10,4
nyc-todo-service,com.TWCC.security,UserDetailsServiceExt,18,3,0,0,3,1,2,1,2,1
nyc-todo-service,com.TWCC.security,WebSecurityConfig,0,75,0,0,0,16,0,6,0,6
nyc-todo-service,com.TWCC.security,AuthEntryPointExt,10,7,0,0,3,2,1,2,1,2
nyc-todo-service,com.TWCC.security,JwtUtils,85,7,0,0,22,2,3,2,3,2
nyc-todo-service,com.TWCC.data,EventStatistics,0,59,0,0,0,22,0,15,0,15
nyc-todo-service,com.TWCC.data,User,16,76,0,0,1,31,1,16,1,16
nyc-todo-service,com.TWCC.service,EventStatisticService,0,526,1,63,0,101,1,38,0,7
nyc-todo-service,com.TWCC.service,EventService,106,172,30,36,33,42,20,15,0,2
