GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nyc-todo-service,com.TWCC.payload,JwtResponse,16,27,0,0,8,10,4,5,4,5
nyc-todo-service,com.TWCC.payload,MessageResponse,4,9,0,0,2,4,1,2,1,2
nyc-todo-service,com.TWCC.payload,LoginRequest,8,15,0,0,4,6,2,3,2,3
nyc-todo-service,com.TWCC.exception,InvalidRequestException,4,0,0,0,2,0,1,0,1,0
nyc-todo-service,com.TWCC,NycTodoServiceApplication,5,3,0,0,2,1,1,1,1,1
nyc-todo-service,com.TWCC.controller,UserController,0,95,0,8,0,19,0,7,0,3
nyc-todo-service,com.TWCC.controller,EventController,187,24,25,1,37,7,18,4,5,4
nyc-todo-service,com.TWCC.security,AuthEntryPointExt,17,0,0,0,5,0,3,0,3,0
nyc-todo-service,com.TWCC.security,JwtUtils,88,4,0,0,23,1,4,1,4,1
nyc-todo-service,com.TWCC.security,AuthTokenFilter,76,0,8,0,19,0,8,0,4,0
nyc-todo-service,com.TWCC.security,UserDetailsExt,60,30,6,0,21,11,13,4,10,4
nyc-todo-service,com.TWCC.security,UserDetailsServiceExt,21,0,0,0,4,0,3,0,3,0
nyc-todo-service,com.TWCC.security,WebSecurityConfig,75,0,0,0,16,0,6,0,6,0
nyc-todo-service,com.TWCC.data,Event,81,81,0,0,29,28,15,14,15,14
nyc-todo-service,com.TWCC.data,User,16,76,0,0,1,31,1,16,1,16
